"mean","cil","ciu","rhat","params"
-5.2450525417509,-9.86937340959582,-2.30888173460244,1.0054219833715,"alpha[95]"
-5.19210706485616,-9.91043122596133,-2.22959453724196,1.00492996703979,"alpha[96]"
-5.20914754023094,-9.94474558384287,-2.23560782066253,1.00439032372662,"alpha[97]"
-5.19684347280309,-9.87719674715432,-2.11155931719249,1.00427355235499,"alpha[98]"
-5.18997793066458,-9.72789512773818,-2.1988269971191,1.00383114435206,"alpha[99]"
-5.36712895056943,-10.0781803089608,-2.60742718530428,1.00663871022776,"alpha[100]"
-5.26777759001515,-9.98523821446277,-2.40672069832952,1.00342847601012,"alpha[101]"
-5.21629217113885,-9.99511151350369,-2.26514980924496,1.00272989675922,"alpha[102]"
-3.33334704651451,-5.94919499999935,0.0144430438240183,1.00112102089886,"alpha[103]"
-5.2584490674858,-9.93913535734478,-2.40331492501444,1.00634476855489,"alpha[104]"
-5.37790849751504,-10.0121485361462,-2.58339123956183,1.00490050673031,"alpha[105]"
-5.28893985123516,-9.91668380353828,-2.45184938336532,1.00671079416196,"alpha[106]"
-5.26993929299448,-9.97098635463255,-2.38731780878055,1.00599335594443,"alpha[107]"
-5.19678015273266,-9.83641960278197,-2.20711350486423,1.00410613575512,"alpha[108]"
-5.42040864296973,-10.0319759342873,-2.6748836812414,1.00579250800287,"alpha[109]"
-5.38562855028918,-10.129441813272,-2.58081916804878,1.00334591976581,"alpha[110]"
-5.17090735158822,-9.80644039540722,-2.10427434610514,1.00436406801087,"alpha[111]"
-5.25420552621195,-9.84531189485324,-2.42708057886428,1.00441698852493,"alpha[112]"
-5.17962818443221,-9.85883408354039,-2.10560944645052,1.00487093591715,"alpha[113]"
-5.25207748591464,-9.95748699493135,-2.38478085784748,1.0056123276161,"alpha[114]"
-5.30337569009526,-10.0588766865291,-2.45995188609717,1.00497681641091,"alpha[115]"
-5.42490398942966,-10.1103216711008,-2.67109021155978,1.00992863450958,"alpha[116]"
-5.31034341509816,-9.95040940906853,-2.50767595992409,1.00736564489613,"alpha[117]"
-5.23244675350483,-9.88481319481181,-2.31743477697078,1.00584007632929,"alpha[118]"
-5.28879236171373,-9.9257266112791,-2.44518186113602,1.00409904068934,"alpha[119]"
-5.24160759621729,-9.93754057841156,-2.35044871181876,1.00314947615939,"alpha[120]"
-5.41512123996643,-9.95710888860073,-2.76442191538052,1.00544222134288,"alpha[121]"
-5.32152760089179,-10.0006746717497,-2.52569890237516,1.00386976151703,"alpha[122]"
-5.21059403978621,-9.90574052193968,-2.20226411926005,1.00408611504766,"alpha[123]"
-5.26834074784417,-9.994667168271,-2.38125484370478,1.004923107452,"alpha[124]"
-5.30059423421163,-9.81240953732136,-2.49671725269523,1.00473062513971,"alpha[125]"
-3.12495658510476,-5.85505681654909,0.521594630195015,1.0013777431593,"alpha[126]"
-5.57614424180238,-10.2073597164409,-2.96207275259295,1.006827366985,"alpha[127]"
-5.36714484062112,-9.95254289558673,-2.6374769396126,1.00630832261911,"alpha[128]"
-5.18358383666089,-9.87733163512217,-2.14525978558102,1.00748303380987,"alpha[129]"
-5.25812728427908,-9.97268347661018,-2.34391393767334,1.00539244372489,"alpha[130]"
-5.2713651520854,-10.0110139861431,-2.35561130301997,1.0045018823412,"alpha[131]"
-5.35188246193072,-10.0761214158188,-2.57304926837623,1.00479207387776,"alpha[132]"
-5.3241150574408,-10.1315014864361,-2.4917646778679,1.00489991442262,"alpha[133]"
-3.59977853621365,-6.25420000326476,-0.533923949112817,1.00075369381393,"alpha[134]"
-5.40268366625512,-10.0901543581832,-2.63390282686503,1.00663171972175,"alpha[135]"
-5.24090407042896,-9.98744700536246,-2.37628578024314,1.00587319346008,"alpha[136]"
-5.23738952706002,-9.94885998364166,-2.2749310897129,1.00584182845653,"alpha[137]"
-5.33146283773709,-10.0142121196996,-2.52151304831161,1.00293247001148,"alpha[138]"
-3.64917793416824,-6.3300400436713,-0.585221126072084,1.00122942565639,"alpha[139]"
-5.30094401600664,-9.878301082313,-2.55692560868673,1.00527882312614,"alpha[140]"
-5.54835605874792,-10.2135125866801,-2.94549144215537,1.00496771205355,"alpha[141]"
